task_id,title,owner,status,start_date,due_date,dependency_ids,priority,effort,notes
api-auth,Implement API authentication,Alice,in_progress,2024-01-01,2024-01-15,,high,4,Secure authentication system
user-registration,User registration flow,Bob,todo,2024-01-05,2024-01-20,api-auth,high,3,Depends on API auth
database-schema,Design database schema,Charlie,done,2023-12-20,2024-01-05,,med,2,Core database structure
user-profiles,User profile management,Alice,in_progress,2024-01-02,2024-01-18,database-schema,med,3,User profile CRUD operations
email-service,Email notification service,David,blocked,2024-01-03,2024-01-25,api-auth,med,4,Waiting for API auth completion
frontend-dashboard,Dashboard UI,Alice,todo,2024-01-10,2024-01-30,user-profiles,high,5,Main dashboard interface
payment-integration,Payment gateway integration,Bob,todo,2024-01-12,2024-02-01,api-auth,high,4,Third-party payment processing
testing-suite,Comprehensive testing,Charlie,todo,2024-01-15,2024-02-05,frontend-dashboard;payment-integration,med,3,End-to-end testing
deployment-setup,Production deployment,David,todo,2024-01-20,2024-02-10,testing-suite,high,3,Production environment setup
monitoring-logs,Application monitoring,Alice,todo,2024-01-25,2024-02-15,deployment-setup,med,2,System monitoring and logging
security-audit,Security audit,Charlie,todo,2024-01-30,2024-02-20,deployment-setup,high,3,Security compliance review
performance-optimization,Performance tuning,Bob,todo,2024-02-01,2024-02-25,monitoring-logs,med,4,Application performance optimization
documentation,API documentation,David,todo,2024-02-05,2024-02-28,security-audit,low,2,Technical documentation
user-feedback,User feedback system,Alice,todo,2024-02-10,2024-03-05,performance-optimization,med,3,User feedback collection
backup-system,Backup and recovery,Charlie,todo,2024-02-15,2024-03-10,documentation,med,2,Data backup procedures
